_id,0_OCLCCN,01_isbn,02_isbn_pubname,03_isbn_countryname,10_title,11_statement_of_responsibility,12_publisher_place,13_publisher_name,14_publication_date,15_content_code,16_content_type_term,17_content_source,18_media_code,19_media_type_term,1_leader_type,20_media_source,21_carrier_code,22_topical_term,23_form_subdivision,24_heading_source,25_authority_record_control_num,26_geographical_subdivision,27_geo_name,28_geo_source_of_headingwterm,29_geo_arn,2_physical_desc,31_host_item,32_series_title,33_series_volume,34_form_data,35_source_of_term,36_index_arn,3_place,4_language,5_catalogue_source,6_lccn,8_personal_name,9_relation,cluster_name,cluster_number,cluster_name_connaway,cluster_num_connaway,
11,151641,822507021,Lerner Publications,English,The proudest horse on the prairie /,by Beatrice S. Smith ; illustrated by Laurel Horvat.,Minneapolis :,"Lerner Publications,",©1971.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Horses.,Juvenile literature.,sears,(OCoLC)fst01151421,Blanks,South Dakota.,fast,(OCoLC)fst01204322,Blanks,Blanks,Blanks,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,74128804,"Smith, Beatrice S.",Blanks,Lerner,1,Lerner,1,
12,16802922,822518422,Lerner Publications,English,Malawi in pictures /,prepared by Thomas O'Toole.,Minneapolis :,"Lerner Publications Co.,",©1988.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Landeskunde.,Blanks,swd,Blanks,Blanks,Malawi.,swd,(OCoLC)fst01209421,Blanks,Blanks,"Visual geography series (Minneapolis, Minn.)",Blanks,Blanks,Blanks,Blanks,mn,en,Blanks,87026627,"O'Toole, Thomas,",Blanks,Lerner,1,Lerner,1,
13,17108496,822516845,Lerner Publications,English,A family in Thailand /,Ruth and Neil Thomson.,Minneapolis :,"Lerner Publications Co.,","1988, ©1987.",txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Manners and customs.,Juvenile literature.,fast,(OCoLC)fst01007815,Thailand.,Thailand.,fast,(OCoLC)fst01205310,Blanks,Blanks,Families the world over.,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,87031039,"Thomson, Ruth,",Blanks,Lerner,1,Lerner,1,
14,17297921,822509180,Lerner Publications,English,Cooking the German way /,Helga Parnell ; photographs by Robert L. and Diane Wolfe.,Minneapolis :,"Lerner Publications Co.,",©1988.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,"Cookery, German.",Juvenile literature.,sears,(OCoLC)fst01007815,Blanks,Germany,sears,(OCoLC)fst01210272,Blanks,Blanks,Easy menu ethnic cookbooks.,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,87036642,"Parnell, Helga.",Blanks,Lerner,1,Lerner,1,
15,175286352,822588943,Lerner Publications,English,Ronald Reagan /,Jane Sutcliffe.,"Minneapolis, Minn. :","Lerner Publications Co.,",©2008.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Presidents,Biography.,sears,(OCoLC)fst01075723,United States.,United States.,fast,(OCoLC)fst01204155,Blanks,Blanks,History maker bios.,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,2007042190,"Sutcliffe, Jane.",Blanks,Lerner,1,Lerner,1,
16,17621421,9.78E+12,Blanks,Blanks,Safe encounters :,Beverly Whipple and Gina Ogden ; [illustrations by Judith Lerner].,New York :,"McGraw-Hill Book Co.,",©1989.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Women,Blanks,fast,(OCoLC)fst01176942,United States.,United States.,fast,(OCoLC)fst01204155,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,ny,en,Blanks,88000869,"Whipple, Beverly.",Blanks,MGH,2,MGH,2,
17,181422878,9.78E+12,Harcourt Brace Jovanovich,Blanks,Look what whiskers can do /,D.M. Souza.,London :,"Lerner,",2008,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Whiskers.,Juvenile literature.,fast,(OCoLC)fst01174571,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Look what animals can do.,Blanks,Children's nonfiction.,fast,(OCoLC)fst01411637,en,en,Blanks,0,"Souza, D. M.",Blanks,Lerner,1,Lerner,1,
18,18381764,822521318,Lerner Publications,English,Homes in cold places /,Alan James.,Minneapolis :,"Lerner,","1989, ©1987.",txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Vernacular architecture.,Juvenile literature.,fast,(OCoLC)fst01165401,Cold regions.,Cold regions.,fast,(OCoLC)fst01239915,Blanks,Blanks,Blanks,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,88022930,"James, Alan,",Blanks,Lerner,1,Lerner,1,
19,19777440,822524252,Lerner Publications,English,Find it! :,by Claire McInerney ; illustrations by Harry Pulver.,Minneapolis :,"Lerner Publications Co.,",©1989.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Study skills.,Juvenile literature.,fast,(OCoLC)fst01136216,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,"Study skills (Minneapolis, Minn.)",Blanks,Young adult nonfiction.,local,(OCoLC)fst01411637,mn,en,Blanks,89034032,"McInerney, Claire Fleischman.",Blanks,Lerner,1,Lerner,1,
20,22450566,822527103,Lerner Publications,English,Missouri /,Rita C. LaDoux.,"Minneapolis, Minn. :","Lerner Publications Co.,",©1991.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Blanks,Blanks,Blanks,Blanks,Blanks,Missouri.,fast,(OCoLC)fst01204724,Blanks,Blanks,Hello U.S.A.,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,90013529,"LaDoux, Rita,",Blanks,Lerner,1,Lerner,1,
21,22450764,822527081,Lerner Publications,English,Nebraska /,A.P. Porter.,"Minneapolis, Minn. :","Lerner Publications Co.,",©1991.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Blanks,Blanks,Blanks,Blanks,Blanks,Nebraska.,fast,(OCoLC)fst01208998,Blanks,Blanks,Hello U.S.A.,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,90013534,"Porter, A. P.",Blanks,Lerner,1,Lerner,1,
22,22909626,822518864,Lerner Publications,English,Portugal-- in pictures /,"prepared by Geography Department, Lerner Publications Company.",Minneapolis :,"Lerner,",©1991.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Blanks,Blanks,Blanks,Blanks,Blanks,Portugal.,sears,(OCoLC)fst01208476,Blanks,Blanks,"Visual geography series (Minneapolis, Minn.)",Blanks,Blanks,Blanks,Blanks,mn,en,Blanks,90026919,Blanks,Blanks,Lerner,1,Lerner,1,
23,23584045,822509253,Lerner Publications,English,Cooking the South American way /,Helga Parnell ; photographs by Robert L. and Diane Wolfe.,Minneapolis :,"Lerner Publications Co.,",©1991.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Cooking,Juvenile literature.,sears,(OCoLC)fst01007815,South America.,South America,sears,(OCoLC)fst01244515,Blanks,Blanks,Easy menu ethnic cookbooks.,Blanks,Cookbooks.,lcgft,(OCoLC)fst01411637,mn,en,Blanks,91012769,"Parnell, Helga.",Blanks,Lerner,1,Lerner,1,
24,23972607,822525534,Lerner Publications,English,Out of the gang /,Keith Elliot Greenberg.,Minneapolis :,"Lerner Publications,",©1992.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Juvenile delinquency.,Juvenile literature.,sears,(OCoLC)fst00937695,New York,New York (State),fast,(OCoLC)fst01312516,Blanks,Blanks,Blanks,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,91019962,"Greenberg, Keith Elliot,",Blanks,Lerner,1,Lerner,1,
25,24871585,822500450,Lerner Publications,English,"Making friends, finding love /",Julie Tallard Johnson.,Minneapolis :,"Lerner Publications Co.,",©1992.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Human relations.,Juvenile literature.,sears,(OCoLC)fst00977436,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,91040792,"Johnson, Julie Tallard.",Blanks,Lerner,1,Lerner,1,
26,264670769,9.78E+12,Harcourt Brace Jovanovich,Blanks,Poodles are the best! /,Elaine Landau.,Minneapolis :,"Lerner,",©2010.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Poodles.,Juvenile literature.,sears,(OCoLC)fst01071032,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,2008046792,"Landau, Elaine.",Blanks,Lerner,1,Lerner,1,
27,26590916,822502445,Lerner Publications,English,Italians in America /,"Ronald P. Grossman, with Martha Savaglio.",Minneapolis :,"Lerner Publications Co.,",1993,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Italian Americans.,Juvenile literature.,sears,(OCoLC)fst00980419,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,In America series.,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,92031325,"Grossman, Ronald P.",Blanks,Lerner,1,Lerner,1,
28,27432455,822523876,Lerner Publications,English,Peanut butter /,Arlene Erlbach ; [illustrations by Jackie Urbanovic].,Minneapolis :,"Lerner Publications,",©1994.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Peanuts.,Juvenile literature.,sears,(OCoLC)fst01055983,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,93020217,"Erlbach, Arlene.",Blanks,Lerner,1,Lerner,1,
29,27434816,822527332,Lerner Publications,English,Delaware /,Dottie Brown.,"Minneapolis, Minn. :","Lerner Publications Co.,",©1994.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Geography.,Blanks,fast,(OCoLC)fst00940469,Blanks,Delaware.,fast,(OCoLC)fst01204929,Blanks,Blanks,Hello U.S.A.,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,92044845,"Brown, Dottie,",Blanks,Lerner,1,Lerner,1,
30,277472064,076133890X,Twenty-First Century Books; Millbrook Press,English,Fishing bears /,Ruth Berman.,"Minneapolis, MN :","Lerner,",©2010.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Brown bear.,Juvenile literature.,fast,(OCoLC)fst00839704,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Lightning bolt books.,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,2008051855,"Berman, Ruth.",Blanks,Lerner,1,Lerner,1,
31,27769367,822528754,Lerner Publications,English,"Hillary Rodham Clinton, a new kind of first lady /",JoAnn Bren Guernsey.,Minneapolis :,"Lerner Publications,",©1993.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,"Clinton, Hillary Rodham",Juvenile literature.,sears,(OCoLC)fst01075830,United States,United States.,fast,(OCoLC)fst01204155,Blanks,Blanks,Blanks,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,93021856,"Guernsey, JoAnn Bren.",Blanks,Lerner,1,Lerner,1,
32,3003993,822512092,Lerner Publications,English,The pyramids /,John Weeks.,Minneapolis :,"Lerner,",1977,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Pyramids.,Juvenile literature.,sears,(OCoLC)fst01084583,Egypt,Egypt,sears,(OCoLC)fst01208755,Blanks,Blanks,Cambridge topic book.,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,76022457,"Weeks, John S.",Blanks,Lerner,1,Lerner,1,
33,3003999,822513609,Lerner Publications,English,Rockets and astronauts /,by Brenda Thompson and Rosemary Giesen ; illustrated by David Hardy and Rosemary Giesen.,Minneapolis :,"Lerner,",©1977.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Astronautics.,Juvenile literature.,fast,(OCoLC)fst00819505,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,76022453,"Thompson, Brenda.",Blanks,Lerner,1,Lerner,1,
34,30437915,822519550,Lerner Publications,English,Ukrainians in America /,Myron B. Kuropas.,Minneapolis :,"Lerner Publications,",1996,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Ukrainian Americans.,Juvenile literature.,fast,(OCoLC)fst01160424,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,"In America (Minneapolis, Minn.)",Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,94014807,"Kuropas?, Myron B.,",Blanks,Lerner,1,Lerner,1,
35,305417864,822599856,Lerner Publications,English,"Giants, trolls, and ogres /",Shannon Knudsen.,"Minneapolis, MN :","Lerner Publications,",©2010.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Trolls.,Juvenile literature.,sears,(OCoLC)fst01157321,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Fantasy chronicles.,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,2009005212,"Knudsen, Shannon,",Blanks,Lerner,1,Lerner,1,
36,31374092,822533014,Lerner Publications,English,A balancing act :,by Gary Funk.,Minneapolis :,"Lerner Publications Co.,",©1995.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,School sports,Juvenile literature.,sears,(OCoLC)fst01107823,United States,United States.,fast,(OCoLC)fst01204155,Blanks,Blanks,Blanks,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,94038597,"Funk, Gary D.,",Blanks,Lerner,1,Lerner,1,
37,32239465,822525577,Lerner Publications,English,Runaways /,Keith Elliot Greenberg ; photographs by Carol Halebian.,Minneapolis :,"Lerner Publications,",©1995.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Shelters for the homeless.,Juvenile literature.,fast,(OCoLC)fst01115772,New York,New York (State),fast,(OCoLC)fst01204333,Blanks,Blanks,Blanks,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,95008074,"Greenberg, Keith Elliot,",Blanks,Lerner,1,Lerner,1,
38,32665108,822527650,Lerner Publications,English,Yukon /,Lyn Hancock.,"Minneapolis, Minn. :","Lerner Publications Co.,",©1996.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Blanks,Blanks,Blanks,Blanks,Blanks,Yukon.,fast,(OCoLC)fst01892691,Blanks,Blanks,Hello Canada.,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,95009626,"Hancock, Lyn.",Blanks,Lerner,1,Lerner,1,
39,327490378,761338764,Twenty-First Century Books; Millbrook Press,English,Meteors and comets /,by Gregory L. Vogt.,"Minneapolis, MN :","Lerner Publications Co.,",©2010.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Meteors.,Juvenile literature.,sears,(OCoLC)fst01018532,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Early bird astronomy.,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,2009020562,"Vogt, Gregory.",Blanks,Lerner,1,Lerner,1,
40,33865065,822517604,Lerner Publications,English,Working in health care and wellness /,by Barbara Lee ; introduction by Barbara Sher.,Minneapolis :,"Lerner Publications,",©1996.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Medicine.,Juvenile literature.,sears,(OCoLC)fst01015150,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,"Exploring careers (Minneapolis, Minn.)",Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,95049876,"Lee, Barbara,",Blanks,Lerner,1,Lerner,1,
41,36719823,822534088,Lerner Publications,English,A Tibetan family /,by Stephen Chicoine.,Minneapolis :,"Lerner Publications,",©1998.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Political refugees,Juvenile literature.,fast,(OCoLC)fst01069678,Columbus,China,fast,(OCoLC)fst01758817,Blanks,Blanks,Journey between two worlds.,Blanks,Juvenile works,fast,(OCoLC)fst01411637,mn,en,Blanks,97012645,"Chicoine, Stephen.",Blanks,Lerner,1,Lerner,1,
42,38833006,822549441,Lerner Publications,English,Maya Angelou /,by L. Patricia Kite.,Minneapolis :,"Lerner Publications,",©1999.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Jugendbuch,Biography.,gnd,(OCoLC)fst00821764,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Biography (Lerner Publications Company),Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,98015763,"Kite, L. Patricia.",Blanks,Lerner,1,Lerner,1,
43,38879285,822536692,Lerner Publications,English,Michelle Kwan :,Kimberly Gatto.,Minneapolis :,"Lerner Publications Co.,",©1998.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Women,Biography.,sears,(OCoLC)fst01737368,United States,United States.,fast,(OCoLC)fst01204155,Blanks,Blanks,Blanks,Blanks,Biographies.,lcgft,(OCoLC)fst01411637,mn,en,Blanks,98016846,"Gatto, Kimberly,",Blanks,Lerner,1,Lerner,1,
44,39442520,822536668,Lerner Publications,English,Ruthie Bolton-Holifield :,Terri Morgan.,Minneapolis :,"Lerner Publications Co.,",1999,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Basketball players.,Biography.,fast,(OCoLC)fst00828280,United States,United States.,fast,(OCoLC)fst01204155,Blanks,Blanks,Blanks,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,98027822,"Morgan, Terri.",Blanks,Lerner,1,Lerner,1,
45,40135376,822529114,Lerner Publications,English,North America and the Caribbean /,Martyn Bramwell.,Minneapolis :,"Lerner Publications,",2000,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,North America.,Blanks,Blanks,Blanks,Blanks,North America.,fast,(OCoLC)fst01242475,Blanks,Blanks,Blanks,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,98048812,"Bramwell, Martyn.",Blanks,Lerner,1,Lerner,1,
46,40311510,822536269,Lerner Publications,English,Hiding toads /,by Suzanne Paul Dell'Oro.,Minneapolis :,"Lerner Publications,",©1999.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Toads.,Juvenile literature.,sears,(OCoLC)fst01151755,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Pull ahead books.,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,98049380,"Dell'Oro, Suzanne Paul.",Blanks,Lerner,1,Lerner,1,
47,40510457,822536730,Lerner Publications,English,Kevin Garnett :,John A. Torres.,Minneapolis :,"Lerner SPORTS,",©2000.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Basketball players.,Biography.,fast,(OCoLC)fst00828280,United States,United States.,fast,(OCoLC)fst01204155,Blanks,Blanks,Blanks,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,98050472,"Torres, John Albert.",Blanks,Lerner,1,Lerner,1,
48,458738474,761360190,Twenty-First Century Books; Millbrook Press,English,The Washington Monument /,Kristin L. Nelson.,Minneapolis :,"Lerner Publications Co.,",©2011.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,"Washington Monument (Washington, D.C.)",Juvenile literature.,sears,(OCoLC)fst01170927,Blanks,Washington (D.C.),fast,(OCoLC)fst01204505,Blanks,Blanks,Lightning bolt books.,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,2009043669,"Nelson, Kristin L.",Blanks,Lerner,1,Lerner,1,
49,45880076,822540517,Lerner Publications,English,Alaska /,by Joyce Johnston.,"Minneapolis, MN :","Lerner Publications,",©2002.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Blanks,Blanks,Blanks,Blanks,Blanks,Alaska.,sears,(OCoLC)fst01204480,Blanks,Blanks,Hello U.S.A.,Blanks,Children's nonfiction.,fast,(OCoLC)fst01411637,mn,en,Blanks,2001000326,"Johnston, Joyce,",Blanks,Lerner,1,Lerner,1,
50,45890326,822548550,Lerner Publications,English,The Masai of Africa /,Lisa McQuail.,Minneapolis :,"Lerner Publications,",2002,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Travel.,Juvenile literature.,fast,(OCoLC)fst01155558,Blanks,Tanzania.,fast,(OCoLC)fst01210143,Blanks,Blanks,First peoples.,Blanks,Children's nonfiction.,fast,(OCoLC)fst01411637,mn,en,Blanks,2001000848,"McQuail, Lisa,",Blanks,Lerner,1,Lerner,1,
51,45909307,822540533,Lerner Publications,English,Washington /,by E.S. Powell.,Minneapolis :,"Lerner Publications,",©2002.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Blanks,Blanks,Blanks,Blanks,Blanks,Washington (State),sears,(OCoLC)fst01204703,Blanks,Blanks,Hello U.S.A.,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,2001000330,"Powell, E. Sandy.",Blanks,Lerner,1,Lerner,1,
52,46449015,822501910,Lerner Publications,English,Where is my state? /,by Robin Nelson.,Minneapolis :,"Lerner Publications Co.,",©2002.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,U.S. states.,Juvenile literature.,fast,(OCoLC)fst01160235,United States,United States,sears,(OCoLC)fst01204155,Blanks,Blanks,First step nonfiction.,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,mn,en,Blanks,2001000964,"Nelson, Robin,",Blanks,Lerner,1,Lerner,1,
53,465355561,9.78E+12,Harcourt Brace Jovanovich,Blanks,What is a gas? /,Jennifer Boothroyd.,London :,"Lerner,",2009,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Gases.,Juvenile literature.,fast,(OCoLC)fst00938598,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Juvenile works.,fast,(OCoLC)fst01411637,en,en,Blanks,0,"Boothroyd, Jennifer,",Blanks,Lerner,1,Lerner,1,
54,47813657,375762175,Random House,English,Writing smart :,Marcia Lerner.,New York :,"Random House,",©2001.,txt,text,rdacontent,n,unmediated,a,rdamedia,nc,Report writing.,Blanks,fast,(OCoLC)fst01094836,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,Blanks,ny,en,Blanks,2002276010,"Lerner, Marcia.",Blanks,RH,3,RH,3,
